id,asentamiento,abreviatura
1,AEROPUERTO,AER
2,AMPLIACION,AMP
3,BARRIO,BARR
4,CANTON,CANT
5,CIUDAD,CD
6,CIUDAD INDUSTRIAL,CD IND
7,COLONIA,COL
8,CONDOMINIO,COND
9,CONJUNTO HABITACIONAL,CONJ HAB
10,CORREDOR INDUSTRIAL,CORR IND
11,COTO,COTO
12,CUARTEL,CUART
13,EJIDO,EJ
14,EXHACIENDA,EX HAC
15,FRACCION,FRACC
16,FRACCIONAMIENTO,FRACC
17,GRANJA,GRAN
18,HACIENDA,HAC
19,INGENIO,ING
20,MANZANA,MZ
21,PARAJE,PAR
22,PARQUE INDUSTRIAL,PQUE IND
23,PRIVADA,PRIV
24,PROLONGACION,PROL
25,PUEBLO,PBL
26,PUERTO,PTO
27,RANCHERIA,RANCH
28,RANCHO,RAN
29,REGION,REG
30,RESIDENCIAL,RES
31,RINCONADA,RINC
32,SECCIÓN,SEC
33,SECTOR,SECT
34,SUPERMANZANA,SUP MZ
35,UNIDAD,UNID
36,UNIDAD HABITACIONAL,UNID HAB
37,VILLA,VLL
38,ZONA FEDERAL,ZF
39,ZONA INDUSTRIAL,ZI
40,ZONA MILITAR,ZM
41,NINGUNO,
42,ZONA NAVAL,ZN
