CLAVE_LENGUA,LENGUA_INDIGENA
111,PAIPAI
112,KILIWA
113,CUCAPÁ
114,COCHIMÍ
115,KUMIAI
121,SERI
131,CHONTAL DE OAXACA
200,CHINANTECO
211,CHINANTECO DE OJITLÁN
212,CHINANTECO DE USILA
221,CHINANTECO DE QUIOTEPEC
222,CHINANTECO DE YOLOX
223,CHINANTECO DE SOCHIAPAN
231,CHINANTECO DE PALANTLA
232,CHINANTECO
241,CHINANTECO DE LALANA
242,CHINANTECO DE LATANI
243,CHINANTECO DE PETLAPA
311,PAME
321,CHICHIMECA JONAZ
331,OTOMÍ
332,MAZAHUA
341,MATLATZINCA
342,OCUILTECO (TLAHUICA)
400,ZAPOTECO
411,ZAPOTECODEIXTLÁN
412,ZAPOTECO VIJANO
413,ZAPOTECO DEL RINCÓN
421,ZAPOTECO VALLISTA
422,ZAPOTECO DEL ISTMO
431,ZAPOTECO DE CUIXTLA
432,SOLTECO
433,ZAPOTECO SUREÑO
441,CHATINO
442,PAPABUCO
450,MIXTECO
451,MIXTECO DE LA COSTA
452,MIXTECO DE LA MIXTECA ALTA
453,MIXTECO DE LA MIXTECA BAJA
454,MIXTECO DE LA ZONA MAZATECA
455,MIXTECO DE PUEBLA
456,TACUATE
461,CUICATECO
471,TRIQUI
481,AMUZGO
482,AMUZGO DE GUERRERO
483,AMUZGO DE OAXACA
491,MAZATECO
492,CHOCHO (CHOCHOLTECO)
493,IXCATECO
494,POPOLOCA
511,HUAVE
611,TLAPANECO
711,TOTONACA (TOTONACO)
712,TEPEHUA
800,POPOLUCA
811,MIXE
812,POPOLUCA DE OLUTA
821,POPOLUCA DE LA SIERRA
822,POPOLUCA DE TEXISTEPEC
823,ZOQUE
824,AYAPANECO
911,HUASTECO
921,LACANDÓN
922,MAYA
931,CHOL (CH’OL)
932,CHONTAL DE TABASCO
933,TZELTAL (TSELTAL)
934,TZOTZIL (TSOTSIL)
935,TOJOLABAL
936,CHUJ
941,MAME (MAM)
942,IXIL
943,AGUACATECO (AWAKATEKO)
951,MOTOCINTLECO (QATO’K)
961,KANJOBAL (Q’ANJOB’AL)
962,JACALTECO (JAKALTEKO)
971,QUICHÉ (K’ICHE’)
972,CAKCHIQUEL (KAQCHIKEL)
981,KEKCHÍ (Q’EQCHI’)
1011,PIMA
1012,PÁPAGO
1013,TEPEHUANO
1014,TEPEHUANO DE CHIHUAHUA (TEPEHUANO DEL NORTE)
1015,TEPEHUANO DE DURANGO (TEPEHUANO DEL SUR)
1021,TARAHUMARA
1022,MAYO
1023,YAQUI
1024,GUARIJÍO
1031,CORA
1032,HUICHOL (WIXÁRIKA)
1041,NÁHUATL
1111,PURÉPECHA (TARASCO)
1211,KIKAPÚ (KICKAPOO)
1311,CHONTAL
