codigo_pais,pais,clave_nacionalidad
101,NAMIBIANA,NAM
103,ANGOLESA,AGO
104,ARGELIANA,DZA
105,DE BENNIN,BEN
106,BOTSWANESA,BWA
107,BURUNDESA,BDI
108,DE CABO VERDE,CPV
109,COMORENSE,COM
110,CONGOLESA,COD
111,MARFILEÑA,COG
112,CHADIANA,TCD
113,DE DJIBOUTI,DJI
114,EGIPCIA,EGY
115,ETIOPE,ETH
116,GABONESA,GAB
117,GAMBIANA,GMB
118,GHANATA,GHA
119,GUINEA,GNB
120,GUINEA,GIN
121,GUINEA ECUATORIANA,GNQ
122,LIBIA,LBY
123,KENIANA,KEN
124,LESOTHENSE,LSO
125,LIBERIANA,LBR
127,MALAWIANA,MWI
128,MALIENSE,MLI
129,MARROQUI,MAR
130,MAURICIANA,MUS
131,MAURITANA,MRT
132,MOZAMBIQUEÑA,MOZ
133,NIGERINA,NER
134,NIGERIANA,NGA
135,CENTRO AFRICANA,CAF
136,CAMERUNESA,CMR
137,TANZANIANA,TZA
139,RWANDESA,RWA
140,DEL SAHARA,ESH
141,DE SANTO TOME,STP
142,SENEGALESA,SEN
143,DE SEYCHELLES,SYC
144,SIERRA LEONESA,SLE
145,SOMALI,SOM
146,SUDAFRICANA,ZAF
147,SUDANESA,SDN
148,SWAZI,SWZ
149,TOGOLESA,TGO
150,TUNECINA,TUN
151,UGANDESA,UGA
152,ZAIRANA,ZAR
153,ZAMBIANA,ZMB
154,DE ZIMBAWI,ZWE
201,ARGENTINA,ARG
202,BAHAMEÑA,BHS
203,DE BARBADOS,BRB
204,BELICEÑA,BLZ
205,BOLIVIANA,BOL
206,BRASILEÑA,BRA
207,CANADIENSE,CAN
208,COLOMBIANA,COL
209,COSTARRICENSE,CRI
210,CUBANA,CUB
211,CHILENA,CHL
212,DOMINICA,DMA
214,SALVADOREÑA,SLV
215,ESTADOUNIDENSE,USA
216,GRANADINA,VCT
217,GUATEMALTECA,GTM
218,BRITANICA,VGB
219,GUYANESA,GUY
220,HAITIANA,HTI
221,HONDUREÑA,HND
222,JAMAIQUINA,JAM
223,MEXICANA,MEX
224,NICARAGUENSE,NIC
225,PANAMEÑA,PAN
226,PARAGUAYA,PRY
227,PERUANA,PER
228,PUERTORRIQUEÑA,PRI
229,DOMINICANA,DOM
230,SANTA LUCIENSE,LCA
231,SURINAMENSE,SUR
232,TRINITARIA,TTO
233,URUGUAYA,URY
234,VENEZOLANA,VEN
299,AMERICANA,USA
301,AFGANA,AFG
303,DE BAHREIN,BHR
305,BHUTANESA,BTN
306,BIRMANA,BUR
307,NORCOREANA,PRK
308,SUDCOREANA,KOR
309,CHINA,CHN
310,CHIPRIOTA,CYP
311,ARABE,SAU
312,FILIPINA,PHL
313,HINDU,IND
314,INDONESA,IDN
315,IRAQUI,IRQ
316,IRANI,IRN
317,ISRAELI,ISR
318,JAPONESA,JPN
319,JORDANA,JOR
320,CAMBOYANA,KHM
321,KUWAITI,KWT
322,LIBANESA,LBN
323,MALASIA,MYS
324,MALDIVA,MDV
325,MONGOLESA,MNG
326,NEPALESA,NPL
327,OMANESA,OMN
328,PAKISTANI,PAK
329,DEL QATAR,QAT
330,SIRIA,SYR
331,LAOSIANA,LAO
332,SINGAPORENSE,SGP
334,TAILANDESA,THA
335,TAIWANESA,TWN
336,TURCA,TUR
337,NORVIETNAMITA,VNM
339,YEMENI,YEM
401,ALBANESA,ALB
403,ALEMANA,DEU
404,ANDORRANA,AND
405,AUSTRIACA,AUT
406,BELGA,BEL
407,BULGARA,BGR
408,CHECOSLOVACA,CSK
409,DANESA,DNK
410,VATICANA,VAT
411,ESPAÑOLA,ESP
412,FINLANDESA,FIN
413,FRANCESA,FRA
414,GRIEGA,GRC
415,HUNGARA,HUN
416,IRLANDESA,IRL
417,ISLANDESA,ISL
418,ITALIANA,ITA
419,LIECHTENSTENSE,LIE
420,LUXEMBURGUESA,LUX
421,MALTESA,MLT
422,MONEGASCA,MCO
423,NORUEGA,NOR
424,HOLANDESA,NLD
426,PORTUGUESA,PRT
427,BRITANICA,IOT
428,SOVIETICA BIELORRUSA,BLR
429,SOVIETICA UCRANIANA,UKR
430,RUMANA,ROM
431,SAN MARINENSE,SMR
432,SUECA,SWE
433,SUIZA,CHE
435,YUGOSLAVA,YUG
501,AUSTRALIANA,AUS
502,FIJIANA,FJI
503,SALOMONESA,SLB
504,NAURUANA,NRU
506,PAPUENSE,PNG
507,SAMOANA,WSM
609,BURKINA FASO,BFA
621,ESTONIA,EST
624,MICRONECIA,FSM
625,REINO UNIDO(DEPEN. TET. BRIT.),GBD
626,REINO UNIDO(BRIT. DEL EXT.),GBN
627,REINO UNIDO(C. BRIT. DEL EXT.),GBO
629,REINO UNIDO,GBR
642,KIRGUISTAN,KGZ
645,LITUANIA,LTU
648,"MOLDOVIA, REPUBLICA DE",MDA
650,MACEDONIA,MKD
667,ESLOVACA,SVK
668,ESLOVENIA,SVN
684,ESLOVAQUIA,XES
